Player position X,Player position Y,Seconds elapsed this session
0.00,0.00,0.38
0.00,0.00,0.62
0.00,0.00,0.86
0.00,0.00,1.11
0.00,0.00,1.35
0.00,0.00,1.62
0.00,0.00,1.86
0.00,0.00,2.11
0.00,0.00,2.35

